id,schedule_code,effective_date,change_type,li_item_id,pbs_code,drug_id,brand_name,old_value,new_value,affected_items,significance,notes,created_at
4666,1983062564,2092-01-01,delisted,10420K_7270_1189_5417_49267,10420K,2100003000,Hyrimoz,"{""pbs_code"": ""10420K"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10420K_7270_1189_5417_49267"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4667,1983062564,2092-01-01,delisted,10420K_7270_1189_5417_50918,10420K,2100003000,Hadlima,"{""pbs_code"": ""10420K"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10420K_7270_1189_5417_50918"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4668,1983062564,2092-01-01,delisted,10420K_7270_1189_5417_51588,10420K,2100003000,Amgevita,"{""pbs_code"": ""10420K"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10420K_7270_1189_5417_51588"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4669,1983062564,2092-01-01,delisted,10420K_7270_1189_5417_54286,10420K,2100003000,Abrilada,"{""pbs_code"": ""10420K"", ""formulary"": ""F2"", ""brand_name"": ""Abrilada"", ""li_item_id"": ""10420K_7270_1189_5417_54286"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4670,1983062564,2092-01-01,delisted,10944B_10037_1189_5419_45576,10944B,2100003000,Hadlima,"{""pbs_code"": ""10944B"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10944B_10037_1189_5419_45576"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4671,1983062564,2092-01-01,delisted,10944B_10037_1189_5419_45951,10944B,2100003000,Amgevita,"{""pbs_code"": ""10944B"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10944B_10037_1189_5419_45951"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4672,1983062564,2092-01-01,delisted,10944B_10037_1189_5419_49269,10944B,2100003000,Hyrimoz,"{""pbs_code"": ""10944B"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10944B_10037_1189_5419_49269"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4673,1983062564,2092-01-01,delisted,10955N_7270_1189_5417_49267,10955N,2100003000,Hyrimoz,"{""pbs_code"": ""10955N"", ""formulary"": ""F2"", ""brand_name"": ""Hyrimoz"", ""li_item_id"": ""10955N_7270_1189_5417_49267"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4674,1983062564,2092-01-01,delisted,10955N_7270_1189_5417_50918,10955N,2100003000,Hadlima,"{""pbs_code"": ""10955N"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10955N_7270_1189_5417_50918"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4675,1983062564,2092-01-01,delisted,10955N_7270_1189_5417_51588,10955N,2100003000,Amgevita,"{""pbs_code"": ""10955N"", ""formulary"": ""F2"", ""brand_name"": ""Amgevita"", ""li_item_id"": ""10955N_7270_1189_5417_51588"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4676,1983062564,2092-01-01,delisted,10955N_7270_1189_5417_54286,10955N,2100003000,Abrilada,"{""pbs_code"": ""10955N"", ""formulary"": ""F2"", ""brand_name"": ""Abrilada"", ""li_item_id"": ""10955N_7270_1189_5417_54286"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
4677,1983062564,2092-01-01,delisted,10960W_10037_1189_5419_45576,10960W,2100003000,Hadlima,"{""pbs_code"": ""10960W"", ""formulary"": ""F2"", ""brand_name"": ""Hadlima"", ""li_item_id"": ""10960W_10037_1189_5419_45576"", ""determined_price"": 444.17}",,,normal,PBS listing was present in the previous schedule and is now absent.,2026-08-30 02:00:11.220906+00
